"Oblast podpory","Rok dotačního titulu","Číslo žádosti","Název projektu","Popis a způsob realizace akce/projektu","Stav žádosti","Celkové náklady","Celková požadovaná dotace celkem v roce 2018","","Podíl celkové požadované dotace k celkovým nákladům"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035860/2018","Prostor pro rodinu","Požadovaná dotace je určena na dofinancování mzdy zaměstnance v období 7-12/2018, který je vzhledem k širokému spektru nabídky služeb Rodinného centra Pampeliška nezbytný pro zachování určitého standardu kvality poskytovaných služeb, dostupnosti poskytovaných služeb a pro koordinaci všech aktivit rodinného centra. Při úvazku 1 je hrubá mzda zaměstnance 13.500,-Kč. Finanční prostředky jsou důležité pro zachování výše úvazku i výše hrubé mzdy v druhé polovině roku 2018. V rodinném centru jsou realizovány aktivity, které posilují rodičovské kompetence a zkvalitňují rodinné vztahy s důrazem na mezigenerační propojení a zapojení otců. Pampeliška plní funkci komunitního, nízkoprahového centra a díky tomu vzniká prostor pro poradenský a informační servis v oblasti rodinných témat, včetně možnosti zprostředkování odborné pomoci v tíživých rodinných situacích. Uskutečňované vzdělávací programy jsou dostatečně názorné a praktické tak, aby získané poznatky mohli rodiče uplatnit v běžném každodenním životě ve svých rodinách. Program je koncipován tak, aby plně uspokojil konkrétní potřeby rodin ve městě a mikroregionu v prorodinných aktivitách. , Na základě velmi dobré místní znalosti (RC funguje již 17 let bez přestávky) konstatujeme, že rodiny v našem městě (i ve spádovém území) potřebují jistotu dostatečně stabilní veřejně přístupné instituce s odpovídajícím zázemím, kterou by mohli navštěvovat bez zbytečných omezeních a kde by získali informace, rady a znalosti pro život s dětmi. Právě na základě našich dlouholetých zkušeností dokážeme tyto jejich potřeby uspokojit. Služby nabízené v Rodinném centru Pampeliška nejsou nahraditelné jinými, Pampeliška je jediné zařízení svého druhu v mikroregionu Březnicko. Služby jsou poskytovány na nekomerčním základě. Z místní znalosti a dotazníkových šetřeních z nedávné doby zcela jasně vyplývá, že pro rodiny ve venkovském a maloměstském prostředí je důležité, aby odborné informace a prorodinné aktivity našly přímo v místě svého bydliště, že nejsou ochotny a často ani schopny cestovat do jiných měst. Za dobu své existence si RC vybudovalo dostatečně stabilní pozici a vytvořilo dostatečnou síť spolupracujícíh odborníků či organizací v oblasti služeb pro rodinu a je zárukou kvalitních, snadno dostupných služeb pro rodinu. , Dalším důležitým aspektem je vnímání centra jako místa, kam se v případě nějaké krizové situace či tíživé situace v rodině mohou obrátit o pomoc., Jako inovativní prvek jsou do programů centra v posledních letech zařazeny aktivity na podporu otců a osvěty v oblasti otcovské role, což je obzvláště důležité ve venkovské regionu. , Rodinné centrum Pampeliška zajišťuje zejména tyto služby a aktivity:, , - NÍZKOPRAHOVÉ  INFORMAČNÍ A PORADENSKÉ CENTRUM - důležitá preventivní aktivita, která jednak směřuje k předcházení negativních jevů v rodinách a prevenci sociální, vyloučení rodičů na rodičovské/mateřské dovolené a jednak poskytuje prostor pro základní, indviduální a krátkodobé odborné poradenství a zprostředkování odborné pomoci v případě tíživé rodinné situace. V případě podpory bude i v druhé polovině roku otevřeno každý den, rodiče s dětmi mohou přicházet bez předchozího objednání, využít veškerého vybavení herny a také informačních zdrojů k řešení svých životních situacích., , - VZDĚLÁVACÍ AKTIVITY V OBLASTI RODINY - workshopy, přednášky a setkání s odborníky v oblastech zdravého životního stylu nejen dětí, ale celé rodiny, rodinných vztahů, výchovy, rodičovství, bezpečnosti dětí, životního prostředí a dalších., , - PODPORA MEZIGENERAČNÍCH VZTAHŮ - v sobě zahrnuje aktivitu ""Mezigerační svépomocná skupina""  v rámci které jsou zorganizovány programy zaměřené na podporu vztahů v širší rodině a na mezigenerační soužití, zaměřeno na společně trávený čas se seniory a dětmi a předávání zkušeností a dovedností, předcházení konfliktům mezi generacemi, vzájemné respektování se., , - AKTIVITY NA PODPORU OTCŮ - programy, kdy otcové stráví společný čas s dětmi, což posílí rodičovské vazby a otcovské kompetence, zprostředkování informací o aktivním otcovství a přednášky na téma aktivního otcovství, informování veřejnosti  o tématech otcovství uspořádáním konkrétní aktivity pro celou rodinu. , , - VOLNOČASOVÉ AKTIVITY A JEDNORÁZOVÉ AKCE jsou nedílnou součástí komplexní nabídky naší organizace, dnes některé již tradiční s hojnou účastní široké veřejnosti vztahující se k různých ročním obdobím, svátkům a významným událostem (maškarní bál, Mikulášská nadílka, velikonoční a vánoční dílny, putování s Dubínkem a mnoho dalších). Také vzdělávací jazykové kurzy pro děti i dospělé (AJ, NJ, FJ) jsou dnes v regionu širokou veřejností vnímány jako samozřejmost a jsou hojně využívány. Tyto aktivity jsou nabízeny v dopoledních, odpoledních i večerních hodinách tak, aby jejich záběr vyhověl nejširší veřejnosti nejen svojí náplní, ale i časovým možnostem různých skupin a hlavně umožnil rodinám trávit čas společně. Výjimkou nejsou ani víkendové akce.  , , - PŘÍMĚSTSKÉ TÁBORY - Rodinné centrum Pampeliška od loňského roku rovněž realizuje sadu příměstských táborů v období školních prázdnin a podporuje tak zaměstnanost v regionu. V roce 2018 jsou to 3 turnusy v období letních prázdnin a jeden v období podzimních prázdnin., , Při všech aktivitách projektu mohou být rodiče (prarodiče i širší rodina) přítomni spolu s dětmi., Dispozičně je RC řešeno s ohledem na specifické potřeby dětských uživatelů a je vytvořeno prostředí přátelské rodině., , - SPOLUPRÁCE - dlouhodobě Rodinné centrum Pampeliška spolupracuje s dalšími organizace v regionu. Například dlouholetá spolupráce s Vyšší odbornou školou a Střední odbornou školou Březnice, Rožmitálská 340, jejímž zřizovatelem je Středočeský kraj, v oblasti zprostředkování a umožnění praxe žákyním oboru sociální činnost a studentkám oboru sociální práce je velmi přínosná pro obě organizace. , , Ke koordinaci a zajištění všech těchto aktivit a nabízených služeb nestačí pouze práce a nasazení dobrovolníků a příznivců Rodinného centra Pampeliška, ale je nezbytná přítomnost stálého zaměstnance zejména k zajištění kvality nabízených služeb a programů a k organizaci činností centra. Financování zaměstnance je bohužel jedna z nejhůře řešitelných věcí, se kterými se Rodinné centrum Pampeliška potýká.  , ","neschváleno RK","56540","53713","","95"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035861/2018","Rekondiční pobyt Soběšice na Šumavě 25.8.-1.9.2018","Rekondiční pobyt pro seniory a zdravotně postižené s rehabilitačním programem, cvičením, plaváním, masáže, vycházky, poznávací výlety. Předvedení kompenzačních pomůcek firmou DMA Praha.","neschváleno RK","287000","60000","","20.90592334"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035863/2018","Socha Kamenná kniha od sohaře Kurta Gebauera","Město Neratovice v rámci oslav stého výročí republiky oslovilo sochaře K. Gebauera o zhotovení sochy na počest F. Palackého. Na sochu současně město pořádá veřejnou sbírku. Celková předpokládaná cena sochy bude činit 800.000 Kč. Město ve sbírce dosud shromáždilo cca 20.000 Kč.","neschváleno RK","800000","200000","","25"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035869/2018","Podpora sportování dětí a mládeže Sport Úvaly","Název projektu: Podpora sportování dětí a mládeže Sport Úvaly , Popis projektu:, Sport Úvaly, z.s.,  IČO 22690735 se sídlem Žižkova 1989, Úvaly, spolek zapsaný ve spolkovém rejstříku vedeném Městským soudem v Praze pod spisovou značkou L 18408, je samosprávný a dobrovolný svazek členů, kteří provozují sportovní činnost karate a karate JKA. Základním účelem Sport Úvaly, z.s, který byl založen 10. 12. 2017, je vytvářet možnosti sportovního vyžití pro své členy, zejména pak mládeže a dále veřejnosti. , Projekt Podpora sportování dětí a mládeže Sport Úvaly je zaměřený na podporu cvičení karate u dětí a mládeže zapsaného spolku Sport Úvaly. Konkrétně na zvýšeni počtu tréninkových jednotek a možnosti účasti na celostátních seminářích karate. Cílem projektu je prohloubit u dětí a mládeže zájem o sport, a tím vést děti a mládež ke  zdravému zdravotnímu stylu a působit v prevenci kriminality dětí a mládeže., , Cíle a přínosy projektu: , 1.	Zvýšení počtu tréninkových jednotek dětí a mládeže v oblasti karate ve spolku Sportu Úvaly, 2.	Možnost vzdělávání se na seminářích karate v České republice, 3.	Zvýšení výkonnosti karate u dětí a mládeže Sport Úvaly, 4.	Výchovné působení v oblasti zdravého životního stylu mládeže – sport jako prevence nemocí, obezity a rizikového chování, 5.	Výchovné působení v oblasti prevence kriminality mládeže, 6.	Zajištění mzdových nákladů na trenéry, 7.	Zajištění pronájmů tělocvičen pro potřeby tréninků karate, 8.	Zajištění poplatků za vzdělávací semináře karate , 9.	V případě vzdělávacích seminářů zajištění dopravy, ubytování a stravy účastníkům seminářů, 10.	zajištění materiálního vybavení pro potřeby tréninku, Zdůvodnění žádosti: , Tréninky karate vytvářejí intenzivní možnosti dětí a mládeže sportovat, individuální zdokonalení v karate a zvýšení fyzické a psychické kondice. Dále vedou k pozitivnímu vztahu ke sportu, představují prevenci kriminality, pozitivně působí v oblasti zdraví, prevence obezity a rizikového chování a mají velký vliv výchovy jedince ve společnosti., Způsob realizace projektu:, Projekt se realizuje na trénincích v pronajatém objektu v Úvalech v Žižkově ulici číslo popisné 1989 a na celostátních seminářích v Praze, Plzni, Kadani a Českém Krumlově (semináře mají většinou 2  1,5 hodinové tréninky denně) , Děti a mládež mají možnost se zúčastnit tréninků a seminářů na základě věku a výkonnosti. Tréninky a semináře jsou vedeny kvalifikovaným trenéry českého a světového karate. Tréninky jsou vedeny koncepčně, a to jak v oblasti sportovní, tak výchovné., Časové vymezení projektu:, 1.7.-31.12.2018     	tréninky dětí a mládeže Sport Úvaly       			Úvaly, 4.-8.7.			Seminář s japonskými instruktory Naka, Okuma a Ogane  	Kadaň, 5.-7.10.		Workshop karate JKA seminář 			      Litoměřice, 17.-18.11.		Seminář japonského instruktora Akita  		     Č. Krumlov, , Popis cílové skupiny, Cílová skupina projektu představuje děti a mládež od 6 do 23 let, které se pravidelně věnují sportovní činnosti – karate a karate JKA. Cílová skupina se věnuje karate rekreačně a výkonnostně.  , Počet dětí a mládeže členské základny Sport Úvaly k 31. 12. 2017: 204 , Dětí 6–10 let   117, Děti 11–16 let 76, Mládež 16–23 let  11, , Možná rizika projektu: živelné katastrofy, nemoci účastníků a trenérů, nedostatek finančních prostředků (projekt není závislý na počasí), , Působení sportovního klubu:, Sport Úvaly, z.s., působí v regionu města Úvaly. Spolek se zaměřuje na výuku karate-do. Je členem těchto organizací:  České unie sportu,  Českého svazu karate JKA, Českého svazu karate a Pražského svazu karate.  Spolek Sport Úvaly pořádá: pravidelné tréninky pro své členy, soutěže a soustředění. Zároveň se zúčastňuje i soutěží, vzdělávacích kurzů a soustředění v organizacích, jejichž je členem., Zpracovala: Mgr. Jana Konečná, ","neschváleno RK","70000","50000","","71.42857143"
"Činnosti nebo aktivity v oblasti kultury","2018","FHT/PHT/035878/2018","Fresh wind","Projekt pro mladé nadějné interprety ze Středočeského kraje. Mixtape s pracovním názvem “Fresh wind” dá příležitost mladým, začínajícím, nebo ne příliš zkušeným rapperům či zpěvákům, ve kterých vidíme skrytý talent. Cílem projektu je podpořit růst české i slovenské scény a to primárně dětí z okraje společnosti, dětských domovů nebo z domovů pro mladistvé ve Středočeském kraji., Proces tohoto projektu podpoří Mike Trafik ve svém Sound hunters studiu., , Publicitu Středočeského kraje zajistíme přímo na koncertních akcích ve Středočeském kraji ve městech Sedlčany, Kladno, nebo Benešov a na sociálních sítích Facebook a Instagram, dále pak používáním hastagu #freshwind, Středočeský kraj bude uváděn jako partner projektu Fresh wind na všech dalších materiálech komunikovaných veřejnosti. ","neschváleno RK","1000000","200000","","20"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035890/2018","Podpora činnosti mladých sportovců","Náš sportovní oddíl nyní sdružuje celkem 45 členů, kteří se věnují sportovní střelbě. Dlouhodobě se zabýváme prací s mládeží, a to hlavně v žákovských a dorosteneckých kategoriích. Naši střelci se pravidelně zúčastňují střeleckých soutěží různých úrovní včetně Mistrovství ČR, kde stabilně dosahují předních umístění. Jsme také dlouholetými aktivními pořadateli střeleckých soutěží. Finanční podpora bude výhradně použita pro naše mladé střelce na pořízení a nezbytnou obnovu zastaralého sportovního vybavení k dosažení kvalitnějších výsledků. Stávající vybavení sportovního střeleckého klubu sportovním materiálem, s kterým mladí členové klubu trénují, je již zastaralé a omezuje kvalitní přípravu těchto sportovců a následně i dosahování kvalitních výsledku při vrcholných domácích soutěží, které jsou předpokladem pro zařazení do center podpory Českého střeleckého svazu a následně do reprezentačního týmu ČR. Pořízení tohoto sportovního materiálu, s dnes již nezbytnou technickou úrovní, proto umožní výrazně zkvalitnit střeleckou přípravu mládeže naší sportovní organizace.","neschváleno RK","198700","188000","","94.61499748"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035894/2018","Rekonstrukce provozní budovy a WC","rekonstrukce provozní budovy a WC muži a ženy stadion Kollárova.Rekonstrukce WC ženy 4ks a WC  muži pro návštěvníky sportovních akcí pořádaných na tomto areálu.","neschváleno RK","388000","200000","","51.54639175"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035895/2018","Letní Fotbalová Škola FC Jílové","Předmětem naší žádosti je uspořádání třetího ročníku Letní Fotbalové Školy FC Jílové. Akce se bude konat v termínu od 23.7. 2018 do 27.7.2018 v areálu spolku FC Jílové, Spartakiádní 554 v Jílovém u Prahy. Akce je organizována pro děti z Jílového, ale i okolí, kteří mají zájem o fotbal a chtějí se něco nového naučit, ale zároveň se i pobavit. Škola je určena pro chlapce i dívky ve věku od 4 do 13 let., Každý den je pro děti připraven speciální program, kdy kromě fotbalu na ně čekají různé hry, soutěže a výlety do okolí Jílového. Děti budou trénovat trenéři z FC Jílové s trenérskou licencí, kteří mají několikaleté zkušenosti s trénováním dětí. Během dne bude dodržován správný pitný režim a bude zajištěno jídlo pro všechny děti formou obědů a svačin v místní restauraci přímo u hřiště, Hlavním přínosem projektu je, že děti mají možnost trávit letní prázdniny venku na čerstvém vzduchu v kolektivu kamarádů s možností si vyzkoušet úplně nové věci. Naše Letní Fotbalová Škola dětem nabízí nepřeberné množství sportovních a pohybových aktivit, které pomáhají k jejich zvýšení fyzické zdatnosti a posílení jejich sportovního ducha. Přínos školy je všestranný a rozvíjí individuální i týmové schopnosti. Důležitým bodem je především schopnost navázat kamarádské a korektní vztahy s ostatními. Děti se zdokonalí v jejich fotbalových dovednostech a naučí se i nové techniky. , Cílem našeho projektu je, aby se Letní Fotbalové Školy mohly zúčastnit děti z blízkého i širokého okolí, bez rozdílů. Hlavním cílem projektu je začlenění dětí do běžného kolektivu a zpřístupnit jim fotbalovou školu, na které se rodina z časových, finančních či odborných důvodů nemůže podílet. , V rámci žádosti bychom rádi požádali o finanční příspěvek na náklady spojené s pořádáním Letní Fotbalové Školy, které přikládáme v příloze rozpočtu akce. Finanční příspěvek od Středočeského kraje by nám pomohl naplnit náš cíl projektu. , Povinnou publicitu Středočeského kraje zajistíme uvedením loga Středočeského kraje na internetových stránkách spolku FC Jílové. Dále bude logo Středočeského kraje vyvěšeno v areálu FC Jílové na veřejně dostupném místě. ","neschváleno RK","145000","80000","","55.17241379"
"Činnosti nebo aktivity v oblasti sociální","2018","FHT/PHT/035925/2018","Sociální poradenství pro migranty ve Středočeském kraji","Registrovaná sociální služba zajišťuje dostupné poradenství cizincům s různými druhy pobytu, žijícím na území, STČ kraje. STČ kraj je druhým nejsilnějším regionem po Praze, kde cizinci v ČR žijí. Dostupné, soc. poradenství je kromě řešení konkrétních situací cizinců v procesu integrace do společnosti i, službou, která monitoruje situaci cizinců na území STČ kraje a může tak ve spolupráci s obcemi, i krajem reagovat na případné nové situace související s imigrací. V roce 2017 jsme např. v, regionech zaznamenali nárůst počtu cizinců z EU i 3. zemí, kteří přijeli z pracovních důvodů. S, těmito cizinci se v poradenství řešila pracovně právní problematika, pracovní podmínky a také, příjezd rodinných příslušníků, včetně začlenění dětí do škol. Očekáváme, že i v roce 2018 bude, tento trend pokračovat. Ze zkušeností CIC, i např. Městské policie Mladá Boleslav, je vhodné, podporovat cizince, aby žili v ČR společně s rodinou, neboť se tím omezuje rizikové chování, (alkohol, hazardní hry apod.) CIC v roce 2017 poskytlo jen v StČ kraji poradenství celkem 890 cizincům. Očekáváme v roce 2018 další nárůst klientů, firmy v kraji se na nás obrací, zda mohou na poradenství cizince odkazovat. Samostatnou kapitolou jsou agentury práce, kde jsme se, setkali opakovaně s tím, že agentury lákaly cizince na práci v ČR, podaly jim nepravdivé informace o mzdě a podmínkách práce, řešením je v těchto situacích pomoci cizinci najít jinou práci (u občanů EU), v případě občanů 3.zemí, kdy je na práci vázáno pobytové oprávnění, je možnost změny práce více komplikovaná., CIC doplňuje nabídku poradenství také dalšími prointegračními aktivitami ve STČ kraji (např. kurzy češtiny, dobrovolnické, klubové programy). Cílem sociálního poradenství je, aby se z imigrantů stali soběstační, samostatní a rovnoprávní členové společnosti, kteří mají zabezpečeny základní životní potřeby a vytvořeny důstojné podmínky pro život a uplatnění v ČR.","neschváleno RK","6968330","200000","","2.87012814"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035927/2018","Rodinné centrum Klíček","Cílem projektu  je vytvořit v našich prostorách prostředí pro setkávání, vzdělávání a seberealizaci rodičů s dětmi. Prostředky jsou využívány k zajištění provozu centra a poskytovaných služeb. Rodinné centrum Klíček si klade za cíl poskytnout všem klientům bez rozdílu společenského, ekonomického, zdravotního či jiného diskriminačního omezení prostředí vhodné pro vzdělávání, seberealizaci, tréninkové aktivity a poradenství, semináře, besedy, kurzy v oblasti vývoje dítěte a péče o ně, rodičovství a výchovy, obtížných situací a konfliktů v rodině a také právní a finanční poradenství. Vzdělávání v oblasti počítačové gramotnosti, osvojování dovedností využívat nové technologie. Jednotlivé aktivity vedou k posilování rodičovských kompetencí a rodičovské seberealizace a sebejistoty a vzdělanosti v péči o jejich děti za doprovodu odborného školitele/pracovníka. Projekt se snaží zkvalitňovat rodinné vztahy, posilovat rodičovské kompetence a umožňuje především sociálně vyloučeným skupinám obyvatel, jako nastávajícím rodičům, rodičům na mateřské/rodičovské dovolené a rodinám s dětmi vzdělávat se, setkávat a rozvinou své schopnosti, dovednosti i znalosti., V letech 2012 - 2017 jsme realizovali projekt ""Rodinné centrum Klíček"" - na který jsme obdrželi dotaci z prostředků Ministerstva práce a sociálních věcí v oblasti podpory rodiny pro nestátní neziskové organizace. V roce 2014, 2015 a 2017 jsme získali dotaci z Humanitárního fondu. Projekty byly zaměřeny na sociálně vyloučené rodiče na mateřské/rodičovské dovolené a jejich děti a na preventivní aktivity k předcházení negativních jevů v rodině., Rodinné centrum Klíček Unhošť, fungující od května 2008, se stalo od svého založení členem Sítě mateřských center sdružující výhradně nezisková centra založená na dobrovolnické práci s možností ovlivnění chodu a zapojení se do samotné činnosti centra jejími klienty. ","neschváleno RK","593580","200000","","33.69385761"
"Činnosti nebo aktivity v oblasti výchovy a vzdělávání","2018","FHT/PHT/035929/2018","Průvodce SK 1. republika","Střední Čechy 1918-2018: Průvodce historií, Ivo Cerman a kol. , Jiří Vágner, Vojtěch Kyncl, Tomáš Jakl, Přehledná publikace bude pojata jako výklad historie a zároveň průvodce po místech spojených s historií 20. století. Bude to první zpracování historie kraje od vzniku samostatného Československa až po dnešek. Za tímto cílem je třeba nalézt něco, čím je kraj specifický. Podle nás je to nejen sousedství Prahy, ale i řepařství a hornictví, které charakterizují východní a západní půlku regionu. K nim se přidává mladoboleslavská Škodovka. , Kniha představí historii těchto odvětví, ale i současné technické památky, které na ně upomínají (muzea v Kladně, Příbrami, Dobrovicích). Vedle toho bude usilovat o to, aby do výkladu začlenila i jiná muzea a památná místa spojená s hospodářským a politickým životem v kraji (např. statky agrárních politiků první republiky)., Rovněž místa spojená s významnými událostmi a zvraty českého státu zapojí do kontextu příběhů 20. století (např. zbylé pohraniční opevnění v kontextu obrany země, shromaždiště Židů za holokaustu, tábory nucených prací atd.) Na úrovni lokální bude sledovat péči o jednotlivé obce a města. Nově bude sledovat i urbanistický vývoj měst od prvorepublikového budování až po asanace Kladna, Příbrami a Mladé Boleslavi v 60.-80. letech. , Průvodce pro Středočeský kraj a jiné instituce. Bude dodáván i do informačních středisek Středočeského kraje.","neschváleno RK","160000","80000","","50"
"Činnosti nebo aktivity v oblasti sportu a tělovýchovy","2018","FHT/PHT/035931/2018","Světová triatlonová série Challenge Prague 2018","Co to je triatlon, Triatlon je sport zahrnující tři nejčastěji provozované a nejoblíbenější vytrvalostní sporty v České republice (plavání, cyklistiku a běh). Od roku 2000 se stal součástí pevně zakotvených sportů v rodině letních OH her. V roce 2020 se počet sad rozdělovaných medailí opět zvýší, což je rovněž důkazem toho, že jde o sport rychle se rozvíjející s dynamickým nárůstem počtu aktivních účastníků., , Základní popis závodu, CHALLENGE PRAGUE je unikátní mezinárodní triatlonový projekt pro elitní závodníky, závodníky z řad široké veřejnosti, jejich doprovod a fanoušky z celého světa ale i řad občanů České republiky a Prahy (závody elite, age group, závod TRY- ATHLON pro začínající triatlonisty, závody štafet a závod pro děti). Svojí koncepcí přesahuje dosavadní závody v ČR. Místo konání akce je v samotném historickém centru Prahy, což dělá ze závodu i v celosvětovém kontextu naprostý unikát., , Historie akce , Nyní jde o čtvrtý ročník samotného závodu v Praze, kdy první dva ročníky byl znám pod názvem TRIPrague. Akce se těší již od prvního ročníku realizace velké prestiži a kvalitě služeb zajišťovaných ve spolupráci s MHMP, MČ Praha 1, 2, a 5, Středočeským krajem a integrovaným záchranným systémem. , , Úroveň prvních tří ročníků umožnila organizátorům nominaci mezi závody ve světové sérii CHALLENGE FAMILY, kam je závod CHALLENGE PRAGUE zařazen po dobu 5 let, jako největší mezinárodní triatlonový závod v České republice s účastí více než 52% závodníků ze zahraničí., , Série CHALLENGE existuje už více než 15 let, zakládající byl závod CHALLENGE Roth v roce 2002, postupně se série rozrůstala až na současných 42 závodů v Asii, Evropě i Americe a dále roste., , V roce 2017 (po začlenění do světové série) byl již závod zařazen do Významných sportovních akcí MŠMT a závod podpořil svou osobní účastí i ministr školství mládeže a tělovýchovy Stanislav Štech, dále pak představitelé MHMP a jednotlivých městských částí. Závěrečná zpráva a dokumentace plnění MŠMT za rok 2017 je součástí příloh., , Významnost akce, Akce se těší velké prestiži. Přináší výraznou propagaci nejen v komunitě sportovců, ale i ekonomický přínos z turismu a možnost mimořádné sportovní akce pro obyvatele ČR– ať už jako aktivní účastníky nebo diváky., , V roce 2017 překročil počet registrovaných účastníků jeden tisíc z 23 zemí světa. V roce 2018 předpokládáme počet cca 1500 startujících. O atraktivitě závodu hovoří i 4 hodiny přímých přenosů v ČT s celkovou sledovaností 280 tis. diváků. Odhadovaný počet diváků v místě samotného závodu a podél tratě byl 10.5 tis. , , Závod CHALLENGE PRAGUE je kvalifikačním závodem pro jeho finále (CHAMPIONCHIP) pořádaný ve slovenském Šamoríně. , , Účast reprezentantů a elitních závodníků, V kategorii elite se pravidelně daří přilákat na start jednat reprezentanty ČR v triatlonu i samotné účastníky OH (Filip Ospalý, Přemysl Švarc, Lucie Zelenková –Reed, Petr Vabroušek, Eva Potůčková, Jan Volar, Tomáš Řenč a další). V kategorie elite letos startovali jak mistři světa, tak vítězové světových pohárů v triatlonu. Pro rok 2018 počítáme s podobnou účastí.  , , Ekonomický přínos akce, Ze zpětnovazebních dotazníků provedených v roce 2017 vyplývá, že závodníci ze zahraničí přijíždějí nejčastěji s 1 – 3 osobami doprovodu a v průměru strávili v místě závodu 4 – 5 dní. Z celkového počtu 1073 startujících bylo 52 % cizinců. Sportovci se nejčastěji ubytovávají v okolí místa startu (Praha) nebo na trati cyklistiky (Středočeský kraj). Při kalkulaci pobytových nákladů 50 EUR/den, stráveném počtu 4 dní a průměrném počtu osob doprovodu (2) je odhadovaný finanční přínos akce pro Prahu a Středočeský kraj, resp. ČR 8 mil Kč., , Cíle akce: , CHALLENGE PRAGUE si již při své vzniku vytýčila několik cílů, které se postupně snaží plnit:, 1. Využít potenciál sportu v Praze a Prahy pro sport. Vybudovat nejlepší ze závodů světové série a do tří let zde získat finále (CHAMPIONCHIP) nebo ME., 2. Pořádat pravidelný triatlonový víkendový event pro Prahu, návštěvníky z ostatních koutů České republiky a ze zahraničí. , 3. Vybudovat si reputaci u široké sportovní veřejnosti (nejen běžecké, cyklistické a plavecké) mezi sportovci i diváky prostřednictvím organizování této akce., 4. Spojit vysokou sportovní úroveň elitních závodníků a masové akce pro širokou sportovní veřejnost (cílový počet účastníků až 1500 v hlavním závodě a stovky až tisíce na doprovodních akcích)., 5. Podpořit na základě spojení sportu a kultury turistický ruch Prahy a ČR., 6. Vytvořit pro obyvatele Prahy zajímavou sportovní akci a možnost seznámení se se světem triatlonu., 7. Budovat dlouhodobou sportovní tradici, která se v brzké budoucnosti stane akcí stejného významu a ekonomického přínosu jako je Pražský mezinárodní maraton. , , Harmonogram akce, Termín:	27. - 28. 7. 2018, Místo:		centrum Prahy, 		, Start a plavání 	okolo Střeleckého ostrova, Depo:                         Most Legií , Cyklistika	Janáčkovo nábř., Strakonická – a zpět (2 okruhy – 90km), Běh	Janáčkovo nábř., Palackého most, náplavka u Rašínova nábř., most Legií (4 okruhy po cca 5 km), , Průlet trasy můžete shlédnout zde. , 	, Doprovodné akce 	pražské sportoviště a exteriéry (bez dopravních uzávěrek) – např. prostory Tyršova domu, zahrada Kinských, Střelecký ostrov., , Partneři:	1. MŠMT, Hlavní město Praha, Středočeský kraj, městské části Prahy, 	3. Sportovní instituce a organizace (WTC/CHALLENGE, ČUS, ČOV, Sokol), 	4. Mediální partneři (ČT, F1, Deník, Kiss, Radiožurnál, Hit rádio), 	5. Sponzoři, 	6. Obchodní partneři  , , Web:	www.CHALLENGE-prague.com, https://www.facebook.com/CHALLENGEprague, https://www.youtube.com/channel/UCVlEhvNXjrIfYZHNGw5EevA, https://twitter.com/CHALLENGEPrague, https://www.instagram.com/CHALLENGEprague/,  , Organizátor:	Česká triatlonová asociace a TRIPrag s.r.o. , , Program:, Program - pátek 27. 7. 2018       , 12:00 - 20:00	Sport Expo, 13:00 - 20:00	Registrace FORD CHALLENGEPRAGUE, CHALLENGEPRAGUE ŠTAFETY, CHALLENGETRY-ATHLON (Vítězná ulice), 16:00 – 17:00	Start CHALLENGEJUNIOR (Střelecký ostrov), 18:00 - 20:00	Pasta Party, Program – sobota 28. 7. 2018, 6:00 - 8:00	Registrace - pouze pro předem přihlášené, 8:30	Start CHALLENGETRY-ATHLON (Střelecký ostrov), 8:00 - 20:00	Sport Expo, 12:00	Start CHALLENGEPRAGUE (Střelecký ostrov), 12:15	Start CHALLENGEPRAGUE  - štafety (Střelecký ostrov), 12:00 - 19:30	CHALLENGEPRAGUE-  hlavní závod, 19:30 - 20:30	Medailový ceremoniál, , Kategorie - CHALLENGEPRAGUE hlavní závod:, M/Ž Elite, M/Ž Age groups (18-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-69, 70+), Štafety (1. plave, 2. cyklistika, 3. běží), , CHALLENGEJUNIOR:	Děti (6-15) , CHALLENGETRY-ATHLON: 	16 let a starší, M/Ž Age groups (16-18, 18-24, 25-29, 30-34, 35-39, 40-44, 45-49, 50-54, 55-59, 60-69, 70+), Štafety (1. plave, 2. cyklistika, 3. běží), , Spolufinancování, Celkový rozpočet projektu je 10,5 mil Kč. V rámci projektu Významné sportovní akce žádáme o částku 4 mil Kč, tj 38,1 % rozpočtu. Míra spolufinancování je tedy 61,9%., ","neschváleno RK","10500000","200000","","1.9047619"
